"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","90121","","","","0"
"2017-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","95343","","","","0"
"2017-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","100344","","","","0"
"2017-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","92278","","","","0"
"2018-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","89421","","","","0"
"2018-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","95120","","","","0"
"2018-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","99399","","","","0"
"2018-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","91088","","","","0"
"2019-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","88444","","","","0"
"2019-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","94376","","","","0"
"2019-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","99977","","","","0"
"2019-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","90632","","","","0"
"2020-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","88757","","","","0"
"2020-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","91955","","","","0"
"2020-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","95041","","","","0"
"2020-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","85461","","","","0"
"2021-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","87019","","","","0"
"2021-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","95042","","","","0"
"2021-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","99654","","","","0"
"2021-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","90663","","","","0"
"2022-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","84470","","","","0"
"2022-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","89716","","","","0"
"2022-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","94282","","","","0"
"2022-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","86742","","","","0"
"2023-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","85451","","","","0"
"2023-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","91428","","","","0"
