City,Year,Turnover Price,Non-Turnover Price,,,,
Vancouver CMA,2021,"2,036","1,651",,,,
Toronto CMA,2021,"2,014","1,554",,,,
Vancouver CMA,2022,"2,325","1,847",,,,
Toronto CMA,2022,"2,110","1,611",,,,
Vancouver CMA,2023,"2,601","2,082",,,,
Toronto CMA,2023,"2,405","1,868",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
